ListPrice,SalePrice,Age,Living,Lot,Tax,Bathrooms,Bedrooms,Garage,Story,CitySewer,eastUS1,Pool
549000,529000,62,2371,11382,5582,2,3,1,1,no,no,no
479000,460000,54,2380,11550,5454,3,4,2,1,no,no,yes
510000,500000,40,2399,10500,4790,4,3,2,1,no,no,yes
569000,533000,1,2400,5000,2012,3,4,2,2,no,no,no
649000,649000,77,2400,10000,7372,2,3,0,1,no,yes,yes
479000,455000,46,2403,9000,4342,3,3,1,1,no,yes,no
399000,325000,47,2414,8439,5073,3,2,2,1,no,no,no
525000,505000,43,2421,11270,5525,2,3,2,1,yes,no,yes
699000,677500,7,2425,6150,5080,3,4,1,2,no,no,no
540000,540000,44,2431,9773,5246,3,3,1,2,no,no,no
569000,540000,37,2435,7500,5690,2,3,2,1,no,yes,no
449000,400000,50,2439,10000,5013,3,3,2,1,no,no,no
499000,474000,67,2441,7077,5511,3,3,0,2,no,no,no
499000,465000,30,2446,9400,6081,2,4,2,1,yes,yes,yes
699000,610000,51,2451,14335,6094,3,4,1,1,no,yes,no
599000,599000,33,2454,10692,5668,3,4,2,1,yes,yes,yes
715000,689000,65,2454,15000,9679,3,4,0,1,no,no,no
439000,415000,44,2458,7500,4443,2,3,1,1,no,no,no
537000,485000,39,2459,12000,5495,3,3,2,1,no,no,no
439000,425000,15,2464,5650,4689,3,4,1,2,yes,no,yes
575000,535000,76,2466,7500,4768,3,5,1,2,yes,no,no
550000,537500,34,2474,12902,8462,2,3,2,1,no,yes,no
750000,680000,76,2482,10500,5882,2,4,1,2,no,no,yes
639000,535000,50,2488,19001,9358,3,4,1,1,no,yes,yes
569000,560000,77,2490,6250,5872,3,4,0,1,yes,no,no
599900,565000,31,2490,11270,8135,2,3,2,1,yes,yes,yes
499900,475400,74,2500,5000,4583,4,5,0,2,yes,no,no
879000,870000,65,2500,22500,8727,5,4,2,2,no,no,yes
439000,439000,79,2514,11250,5525,2,3,1,1,no,no,no
589000,570000,52,2528,10500,5285,2,3,2,1,no,no,yes
498000,455000,48,2532,7500,3626,3,3,1,1,no,no,no
449954,320000,74,2533,6350,2605,2,3,0,1,no,no,no
599000,575000,43,2538,12100,6197,3,4,2,1,yes,yes,yes
650000,625000,74,2548,6500,6094,5,4,0,2,no,no,no
540000,520000,14,2555,6700,6248,3,4,2,2,yes,no,no
499000,425000,36,2562,8100,4815,3,3,2,1,no,no,yes
475000,455000,42,2567,10000,6151,3,4,1,1,yes,no,no
450000,425000,47,2567,12000,6309,3,4,1,1,no,no,no
499900,465500,42,2567,10000,6775,3,4,1,1,no,no,no
850000,850000,67,2576,18750,10515,4,4,2,2,no,no,yes
925000,880000,67,2576,18750,13326,4,4,2,2,no,no,yes
419000,385000,18,2578,5000,4522,3,4,2,2,no,no,no
499900,480000,51,2587,9000,4939,3,4,0,1,no,no,no
595000,570000,78,2592,7200,5208,3,3,0,2,no,no,no
617000,597000,29,2592,11979,6660,3,4,2,1,yes,yes,yes
594000,580000,52,2604,12500,7287,3,4,0,1,no,yes,yes
569000,535000,49,2618,10000,5000,3,4,1,1,no,no,yes
599000,522000,48,2627,11960,5912,3,3,2,1,no,yes,yes
469000,450000,44,2630,9055,4599,3,3,2,1,no,no,no
760000,745000,49,2633,11275,6471,3,4,2,1,no,yes,yes
599999,570000,56,2639,16785,5900,3,4,1,1,no,no,no
725000,705000,64,2640,15000,7723,4,3,0,1,no,no,no
589000,530000,63,2648,10560,5971,3,3,1,2,yes,no,no
399900,390000,22,2650,5500,4470,3,4,1,2,yes,no,no
715000,750000,15,2656,6500,6586,3,3,1,2,yes,no,no
499000,478333,77,2659,7450,6045,3,3,1,1,no,no,yes
675000,675000,52,2666,29452,9255,3,3,2,1,no,yes,no
379000,348100,20,2678,5800,4786,3,3,1,2,no,no,no
700000,630000,61,2679,17846,6405,3,3,2,1,no,no,no
615000,590000,46,2680,11035,6383,3,4,2,1,no,no,yes
359000,359000,25,2687,5250,5372,4,4,0,1,no,no,no
569000,560000,52,2689,10250,5134,3,3,2,1,no,yes,no
639500,620000,51,2691,11600,6728,3,3,2,1,no,no,yes
669999,651500,40,2695,9900,6649,3,4,2,1,no,yes,yes
599000,575000,62,2697,13900,5545,3,4,2,1,yes,no,no
450000,430000,39,2699,6999,4500,2,3,2,1,yes,no,no
599000,599000,76,2700,5500,3891,4,4,2,2,yes,no,no
600000,590000,76,2712,5550,4563,3,4,0,2,no,no,no
600000,580000,52,2712,10000,5944,5,4,1,1,no,yes,yes
550000,539000,50,2715,9500,3194,3,4,2,1,no,no,no
419000,408000,16,2715,6300,5587,3,3,1,2,yes,no,no
525000,420000,19,2723,6231,6595,3,3,2,2,no,no,no
599000,575000,53,2733,12540,5166,3,3,1,1,no,no,no
729000,687730,50,2735,11900,6508,3,4,2,2,yes,yes,no
499000,599000,52,2737,12000,8147,4,4,0,1,no,no,no
579000,579000,50,2738,14737,8102,3,4,2,1,no,no,no
1000000,872500,54,2738,18750,10682,3,3,0,1,no,no,yes
475000,450000,53,2742,13015,5789,2,3,0,1,no,yes,no
625000,615000,78,2746,11300,5611,3,3,2,2,yes,no,yes
699700,650000,76,2754,11640,9266,3,3,1,2,no,yes,yes
499000,485000,23,2758,5250,5431,3,4,1,2,no,no,no
549000,540000,57,2760,12000,7065,4,5,2,1,no,yes,yes
699000,656000,39,2762,9900,6950,3,4,2,1,no,yes,yes
599000,599000,76,2766,6010,4648,3,3,0,2,yes,no,no
415000,391000,77,2772,6562,6810,4,5,0,2,no,no,no
599000,550000,76,2780,9100,5927,4,4,1,2,no,no,yes
589000,585000,54,2784,13750,7619,4,4,1,1,no,yes,yes
